Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1717419268582,2400,2400,2400,2400,2400,2400,2400,2400,44,44,44,44,100,50,100,0,100,0,50,0,6.1481404304504395,17179869184,2147483648,11096133632,606601216
203,1717419268582,2400,2400,2400,2400,2400,2400,2400,2400,44,44,44,44,0,0,50,0,0,0,50,0,6.1481404304504395,17179869184,2147483648,11096727552,606601216
203,1717419268785,2400,2400,2400,2400,2400,2400,2400,2400,48,49,48,46,23.809524536132813,0,15.000000953674316,0,10,4.761904716491699,5.263157844543457,0,6.1481404304504395,17179869184,2147483648,11096666112,606601216
199,1717419268993,2400,2400,2400,2400,2400,2400,2400,2400,48,49,48,46,30.000001907348633,0,30.000001907348633,19.047618865966797,20,9.523809432983398,27.272727966308594,31.81818199157715,10.395357131958008,17179869184,2147483648,11096682496,606601216
203,1717419269193,2400,2400,2400,2400,2400,2400,2400,2400,48,49,48,46,31.57894515991211,0,30.000001907348633,0,25,0,21.052631378173828,0,10.395357131958008,17179869184,2147483648,11096682496,606601216
204,1717419269397,2400,2400,2400,2400,2400,2400,2400,2400,48,49,48,46,14.285715103149414,0,5,0,0,0,0,0,10.395357131958008,17179869184,2147483648,11095064576,606601216
204,1717419269602,2400,2400,2400,2400,2400,2400,2400,2400,43,44,44,43,20,0,14.285715103149414,0,14.285715103149414,0,14.285715103149414,0,10.395357131958008,17179869184,2147483648,11094982656,606601216
201,1717419269807,2400,2400,2400,2400,2400,2400,2400,2400,43,44,44,43,20,0,15.000000953674316,0,15.000000953674316,0,0,0,10.395357131958008,17179869184,2147483648,11094888448,606601216
201,1717419270009,2400,2400,2400,2400,2400,2400,2400,2400,43,44,44,43,19.047618865966797,0,15.000000953674316,0,9.523809432983398,0,9.090909004211426,0,17.077917098999023,17179869184,2147483648,11094765568,606601216
199,1717419270211,2400,2400,2400,2400,2400,2400,2400,2400,43,44,44,43,15.000000953674316,0,4.761904716491699,0,0,0,0,0,17.077917098999023,17179869184,2147483648,11094609920,606601216
11,1717419270411,2400,2400,2400,2400,2400,2400,2400,2400,43,44,44,43,35,0,20,4.761904716491699,20,0,15.000000953674316,0,17.077917098999023,17179869184,2147483648,11095547904,606601216
